id,numerical_column1,numerical_column2,categorical_column
1,52.0,18.182496720710063,B
2,93.0,18.34045098534338,B
3,15.0,30.42422429595377,B
4,72.0,52.475643163223786,A
5,61.0,43.194501864211574,B
6,,29.122914019804192,A
7,83.0,61.18528947223795,B
8,87.0,13.949386065204184,C
9,75.0,29.214464853521815,C
10,75.0,36.63618432936917,A
11,88.0,,C
12,24.0,78.51759613930136,C
13,3.0,19.967378215835975,B
14,22.0,51.42344384136116,A
15,53.0,59.24145688620425,B
5,2.0,4.645041271999773,B
17,88.0,60.75448519014384,B
18,30.0,17.052412368729154,B
19,38.0,6.505159298527952,B
20,2.0,94.88855372533332,B
